epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.23632,3.36052,4.69572,1.78839,0,0,0,0,2.87729,4.43486,1.81207,0,0,0
2,4.03854,4.20831,4.40152,1.94593,0,0,0,0,2.81628,4.42792,1.78901,1.23763e-05,1.23763e-05,1.23763e-05
3,5.90084,2.3234,4.27087,1.61938,0,0,0,0,2.62764,4.41493,1.69163,2.4505e-05,2.4505e-05,2.4505e-05
4,7.76052,2.7939,4.37786,1.57166,0,0,0,0,2.41618,4.40178,1.59744,3.63862e-05,3.63862e-05,3.63862e-05
5,9.56651,2.07247,4.28075,1.44457,0,0,0,0,2.12392,4.3809,1.48321,4.802e-05,4.802e-05,4.802e-05
6,11.3569,2.00256,4.24156,1.50662,0,0,0,0,1.88454,4.36524,1.34593,5.94062e-05,5.94062e-05,5.94062e-05
7,13.3467,2.47045,4.21878,1.36491,0,0,0,0,1.72159,4.35,1.24002,7.0545e-05,7.0545e-05,7.0545e-05
