epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,35.3926,0.58566,0.93085,0.947,0.94791,0.22785,0.56402,0.39909,0.52659,0.66594,0.87598,0.0005644,0.0005644,0.0005644
24,36.9147,0.57128,0.90016,0.94454,0.93734,0.424,0.60189,0.44185,0.5685,0.70344,0.89648,0.0005446,0.0005446,0.0005446
25,38.3353,0.6803,0.96376,0.99295,0.92934,0.53839,0.63451,0.46169,0.51574,0.76791,0.88024,0.0005248,0.0005248,0.0005248
26,39.6183,0.53011,0.79192,0.93358,0.88895,0.54404,0.63277,0.46239,0.48363,0.84566,0.88065,0.000505,0.000505,0.000505
27,40.8952,0.6486,0.76931,1.03295,0.90443,0.55871,0.63409,0.46246,0.48659,0.86145,0.88352,0.0004852,0.0004852,0.0004852
28,42.193,0.54344,0.73402,0.9498,0.7992,0.59737,0.64806,0.48546,0.48401,0.59411,0.85737,0.0004654,0.0004654,0.0004654
29,43.4952,0.57912,0.7501,0.97605,0.83458,0.62149,0.6531,0.48116,0.4818,0.53782,0.86052,0.0004456,0.0004456,0.0004456
30,44.7891,0.72351,1.33983,1.01178,0.81506,0.61476,0.65597,0.46762,0.46862,0.53729,0.85634,0.0004258,0.0004258,0.0004258
31,46.1859,0.71576,1.10719,0.94972,0.78942,0.61383,0.66697,0.46277,0.4605,0.52631,0.8542,0.000406,0.000406,0.000406
32,47.5526,0.54612,0.68716,0.94076,0.87036,0.61446,0.67626,0.44451,0.49639,0.50929,0.85905,0.0003862,0.0003862,0.0003862
33,48.9289,0.55642,0.77958,0.95649,0.84409,0.62017,0.68441,0.44887,0.46201,0.51265,0.85192,0.0003664,0.0003664,0.0003664
34,50.2142,0.66735,0.82166,1.02064,0.81995,0.62064,0.68501,0.45416,0.45269,0.52763,0.84953,0.0003466,0.0003466,0.0003466
35,51.5414,0.57296,0.6935,0.9776,0.79249,0.62236,0.67522,0.46553,0.44939,0.56385,0.84981,0.0003268,0.0003268,0.0003268
36,52.8315,0.59794,0.87313,0.94895,0.82504,0.58638,0.65137,0.48459,0.43462,0.50639,0.84404,0.000307,0.000307,0.000307
37,54.0897,0.52651,0.73341,0.9139,0.84725,0.60051,0.65924,0.49824,0.42309,0.4686,0.83996,0.0002872,0.0002872,0.0002872
38,55.3557,0.4889,0.60933,0.9142,0.77024,0.68598,0.645,0.48837,0.40785,0.4462,0.83292,0.0002674,0.0002674,0.0002674
39,56.7155,0.59386,0.64437,1.0343,0.78998,0.62989,0.64588,0.50326,0.40434,0.4388,0.8305,0.0002476,0.0002476,0.0002476
40,58.1276,0.50616,0.88417,0.95475,0.78957,0.68079,0.6579,0.52049,0.39589,0.41468,0.82808,0.0002278,0.0002278,0.0002278
41,72.9142,0.51612,0.96003,0.93344,0.8311,0.6955,0.68878,0.53247,0.40563,0.41323,0.82763,0.000208,0.000208,0.000208
42,74.2624,0.45916,0.81191,0.88267,0.83558,0.6983,0.70561,0.53667,0.42763,0.42119,0.83223,0.0001882,0.0001882,0.0001882
43,75.6705,0.47868,0.82115,0.88416,0.83255,0.69414,0.70588,0.53581,0.44473,0.44054,0.83974,0.0001684,0.0001684,0.0001684
44,77.1227,0.36613,11.1245,0.7043,0.85199,0.6617,0.7031,0.53203,0.43356,0.45728,0.83449,0.0001486,0.0001486,0.0001486
45,78.5115,0.45034,0.68191,0.85881,0.84943,0.66071,0.70167,0.53384,0.40998,0.46339,0.82943,0.0001288,0.0001288,0.0001288
46,79.9389,0.61892,1.23051,1.2644,0.8542,0.66121,0.69816,0.53352,0.39328,0.45578,0.82633,0.000109,0.000109,0.000109
47,81.3454,0.43366,0.83488,0.86846,0.88219,0.64933,0.69744,0.52894,0.39042,0.46422,0.82388,8.92e-05,8.92e-05,8.92e-05
48,82.7355,0.42117,0.65329,0.86325,0.91582,0.65828,0.69864,0.52679,0.39081,0.45299,0.82268,6.94e-05,6.94e-05,6.94e-05
49,84.1223,0.47627,0.71222,0.89244,0.91099,0.66275,0.70269,0.53028,0.38735,0.45175,0.82145,4.96e-05,4.96e-05,4.96e-05
50,85.4225,0.50384,0.74579,0.9487,0.91572,0.66284,0.70344,0.53527,0.38427,0.45405,0.81907,2.98e-05,2.98e-05,2.98e-05
