epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,45.3932,1.13539,0.94137,0.88862,0.84443,0.7945,0.85592,0.60438,1.02427,1.13668,0.88302,0.000660045,0.000660045,0.000660045
43,46.3833,1.1053,0.93311,0.90902,0.84182,0.80008,0.85977,0.599,1.02955,1.08195,0.88479,0.000649046,0.000649046,0.000649046
44,47.3646,1.04371,0.88879,0.90873,0.84814,0.82798,0.8745,0.61884,0.98756,0.99389,0.87566,0.000638047,0.000638047,0.000638047
45,48.349,1.08751,0.8986,0.89919,0.84814,0.82798,0.8745,0.61884,0.98756,0.99389,0.87566,0.000627048,0.000627048,0.000627048
46,49.3434,1.08689,0.85961,0.89385,0.85848,0.83886,0.88488,0.63678,0.9565,0.91972,0.86939,0.000616049,0.000616049,0.000616049
47,50.3781,1.10479,0.8766,0.89367,0.85941,0.8459,0.88736,0.62906,0.98127,0.88325,0.87454,0.000605051,0.000605051,0.000605051
48,51.3724,1.09207,0.85414,0.89237,0.85352,0.8526,0.88793,0.61951,1.02234,0.85781,0.88508,0.000594052,0.000594052,0.000594052
49,52.3415,1.02228,0.83172,0.89254,0.85352,0.8526,0.88793,0.61951,1.02234,0.85781,0.88508,0.000583053,0.000583053,0.000583053
50,53.3383,1.05938,0.82831,0.88362,0.85333,0.8664,0.90043,0.63194,1.00708,0.83254,0.88898,0.000572054,0.000572054,0.000572054
51,54.3194,1.06174,0.84155,0.8909,0.85433,0.86756,0.90366,0.64465,0.98083,0.80532,0.88224,0.000561055,0.000561055,0.000561055
52,55.3247,1.03185,0.80958,0.8908,0.84675,0.84869,0.90632,0.66128,0.93253,0.77289,0.86948,0.000550056,0.000550056,0.000550056
53,56.271,0.9977,0.80285,0.87877,0.84675,0.84869,0.90632,0.66128,0.93253,0.77289,0.86948,0.000539057,0.000539057,0.000539057
54,57.2706,1.05729,0.83239,0.88612,0.85979,0.85192,0.90788,0.65661,0.92698,0.74909,0.86519,0.000528058,0.000528058,0.000528058
55,58.2694,1.15676,0.86681,0.88142,0.86898,0.85994,0.9088,0.66033,0.938,0.73497,0.86648,0.000517059,0.000517059,0.000517059
